Year,Series,Value
2010,Reservoir minimum water area (square kilometres),0
2011,Reservoir minimum water area (square kilometres),0
2012,Reservoir minimum water area (square kilometres),0
2013,Reservoir minimum water area (square kilometres),0
2014,Reservoir minimum water area (square kilometres),0
2015,Reservoir minimum water area (square kilometres),0
2016,Reservoir minimum water area (square kilometres),0
2017,Reservoir minimum water area (square kilometres),0
2018,Reservoir minimum water area (square kilometres),0
2019,Reservoir minimum water area (square kilometres),0
2020,Reservoir minimum water area (square kilometres),0
2021,Reservoir minimum water area (square kilometres),0
2022,Reservoir minimum water area (square kilometres),0
2010,Reservoir minimum water area (% of total land area),0
2011,Reservoir minimum water area (% of total land area),0
2012,Reservoir minimum water area (% of total land area),0
2013,Reservoir minimum water area (% of total land area),0
2014,Reservoir minimum water area (% of total land area),0
2015,Reservoir minimum water area (% of total land area),0
2016,Reservoir minimum water area (% of total land area),0
2017,Reservoir minimum water area (% of total land area),0
2018,Reservoir minimum water area (% of total land area),0
2019,Reservoir minimum water area (% of total land area),0
2020,Reservoir minimum water area (% of total land area),0
2021,Reservoir minimum water area (% of total land area),0
2022,Reservoir minimum water area (% of total land area),0
2010,Reservoir maximum water area (square kilometres),0
2011,Reservoir maximum water area (square kilometres),0
2012,Reservoir maximum water area (square kilometres),0
2013,Reservoir maximum water area (square kilometres),0
2014,Reservoir maximum water area (square kilometres),0
2015,Reservoir maximum water area (square kilometres),0
2016,Reservoir maximum water area (square kilometres),0
2017,Reservoir maximum water area (square kilometres),0
2018,Reservoir maximum water area (square kilometres),0
2019,Reservoir maximum water area (square kilometres),0
2020,Reservoir maximum water area (square kilometres),0
2021,Reservoir maximum water area (square kilometres),0
2022,Reservoir maximum water area (square kilometres),0
2010,Reservoir maximum water area (% of total land area),0
2011,Reservoir maximum water area (% of total land area),0
2012,Reservoir maximum water area (% of total land area),0
2013,Reservoir maximum water area (% of total land area),0
2014,Reservoir maximum water area (% of total land area),0
2015,Reservoir maximum water area (% of total land area),0
2016,Reservoir maximum water area (% of total land area),0
2017,Reservoir maximum water area (% of total land area),0
2018,Reservoir maximum water area (% of total land area),0
2019,Reservoir maximum water area (% of total land area),0
2020,Reservoir maximum water area (% of total land area),0
2021,Reservoir maximum water area (% of total land area),0
2022,Reservoir maximum water area (% of total land area),0
2021,Extent of inland wetlands (square kilometres),0.09
2017,Wetlands area (square kilometres),0
2017,Wetlands area (% of total land area),0
